role,gender,number,percentage
Reporters,Male,5139,15.63193916
Reporters,Female,2808,8.541444867
Photographers,Male,4083,12.41977186
Photographers,Female,2884,8.772623574
Copy/Layout Editors,Male,9417,28.64486692
Copy/Layout Editors,Female,5738,17.4539924
Supervisors,Male,2023,6.153612167
Supervisors,Female,783,2.381749049
Total,Male,20662,62.85019011
Total,Female,12213,37.14980989
Total,Total,32875,100, 
